"attribute_index","attribute_id","attribute_label","schema_category","layer_1_id","layer_1","layer_2_id","layer_2","layer_3_id","layer_3"
"1","age_bracket","Age bracket","Demographic: Core","background","Background","demographics","Demographics","core_demographics","Core Demographics"
"2","region","Region","Demographic: Core","background","Background","demographics","Demographics","core_demographics","Core Demographics"
"3","gender_identity","Gender identity","Demographic: Core","background","Background","demographics","Demographics","core_demographics","Core Demographics"
"4","urbanicity","Urbanicity","Demographic: Core","background","Background","demographics","Demographics","core_demographics","Core Demographics"
"5","socioeconomic_band","Socioeconomic band","Demographic: Core","background","Background","demographics","Demographics","core_demographics","Core Demographics"
"6","primary_language","Primary language","Linguistic: Language","background","Background","language","Language","language_profile","Language Profile"
"7","english_proficiency","English proficiency","Linguistic: Language","background","Background","language","Language","language_profile","Language Profile"
"8","multilingualism","Multilingualism","Linguistic: Language","background","Background","language","Language","language_profile","Language Profile"
"9","register","Dialect / register","Demographic: Core","background","Background","demographics","Demographics","core_demographics","Core Demographics"
"10","domain","Domain","Expertise: Domains","capability","Capability","domains","Domains","cross_domain_expertise_profile","Cross-Domain Expertise Profile"
"11","subject_specialty","Subject specialty","Expertise: Domains","capability","Capability","domains","Domains","cross_domain_expertise_profile","Cross-Domain Expertise Profile"
"12","domain_characteristics","Domain stance","Personality: Character","psychology","Psychology","personality","Personality","character","Character"
"13","highest_education","Highest education","Learning: Academic","background","Background","education","Education","academic_background","Academic Background"
"14","academic_field","Academic field","Learning: Academic","background","Background","education","Education","academic_background","Academic Background"
"15","institution_tier","Institution tier","Learning: Academic","background","Background","education","Education","academic_background","Academic Background"
"16","research_output","Research output","Professional: Career","background","Background","career","Career","career_profile","Career Profile"
"17","seniority","Seniority","Professional: Career","background","Background","career","Career","career_profile","Career Profile"
"18","company_size","Company size","Professional: Industry","background","Background","career","Career","industry","Industry"
"19","role_function","Role function","Professional: Industry","background","Background","career","Career","industry","Industry"
"20","years_experience","Years experience","Professional: Career","background","Background","career","Career","career_profile","Career Profile"
"21","linkedin_activity","LinkedIn activity","Professional: Career","background","Background","career","Career","career_profile","Career Profile"
"22","life_stage","Life stage","Demographic: Life Events","background","Background","demographics","Demographics","life_events","Life Events"
"23","major_life_events","Major life events","Demographic: Life Events","background","Background","demographics","Demographics","life_events","Life Events"
"24","cultural_background","Cultural background","Demographic: Cultural","background","Background","demographics","Demographics","cultural_background","Cultural Background"
"25","tech_savviness","Tech savviness","Expertise: Domains","capability","Capability","domains","Domains","cross_domain_expertise_profile","Cross-Domain Expertise Profile"
"26","dominant_trait","Dominant trait","Personality: Character","psychology","Psychology","personality","Personality","character","Character"
"27","risk_tolerance","Risk tolerance","Risk & Decision","psychology","Psychology","decision_making","Decision-Making","risk_decision","Risk & Decision"
"28","decision_style","Decision style","Risk & Decision","psychology","Psychology","decision_making","Decision-Making","risk_decision","Risk & Decision"
"29","values_priority","Core value","Values & Motivation","psychology","Psychology","worldview","Worldview","values_motivation","Values & Motivation"
"30","political_lean","Political lean","Worldview: Beliefs","psychology","Psychology","worldview","Worldview","beliefs","Beliefs"
"31","religiosity","Religiosity","Values & Motivation","psychology","Psychology","worldview","Worldview","values_motivation","Values & Motivation"
"32","neurotype","Neurotype","Personality: MBTI","psychology","Psychology","personality","Personality","mbti","MBTI"
"33","emotional_state","Emotional state","State: Emotional","behavior_interaction","Behavior and Interaction","interaction_state","Interaction State","current_emotional_state","Current Emotional State"
"34","intent","Intent","State: Emotional","behavior_interaction","Behavior and Interaction","interaction_state","Interaction State","task_interaction_context","Task & Interaction Context"
"35","query_complexity","Query complexity","State: Emotional","behavior_interaction","Behavior and Interaction","interaction_state","Interaction State","task_interaction_context","Task & Interaction Context"
"36","expertise_gap","Expertise gap","Expertise: Domains","capability","Capability","domains","Domains","cross_domain_expertise_profile","Cross-Domain Expertise Profile"
"37","tone_expected","Expected tone","Linguistic: Communication","background","Background","language","Language","communication","Communication"
"38","trust_level","Trust level","Worldview: Beliefs","psychology","Psychology","worldview","Worldview","beliefs","Beliefs"
"39","safety_sensitivity","Safety sensitivity","Worldview: Beliefs","psychology","Psychology","worldview","Worldview","beliefs","Beliefs"
"40","time_pressure","Time pressure","Behavior: Time","behavior_interaction","Behavior and Interaction","personal_behavior","Personal Behavior","time_use","Time Use"
"41","prior_context","Prior context","State: Emotional","behavior_interaction","Behavior and Interaction","interaction_state","Interaction State","task_interaction_context","Task & Interaction Context"
"42","device_context","Device context","State: Emotional","behavior_interaction","Behavior and Interaction","interaction_state","Interaction State","task_interaction_context","Task & Interaction Context"
"43","modality_pref","Modality preference","Behavior: Preferences","behavior_interaction","Behavior and Interaction","personal_behavior","Personal Behavior","preferences","Preferences"
"44","accessibility_needs","Accessibility needs","Behavior: Preferences","behavior_interaction","Behavior and Interaction","personal_behavior","Personal Behavior","preferences","Preferences"
"45","learning_style","Learning style","Learning: Style","background","Background","education","Education","learning_style","Learning Style"
"46","media_diet","Media diet","Behavior: Preferences","behavior_interaction","Behavior and Interaction","personal_behavior","Personal Behavior","preferences","Preferences"
"47","economic_motivation","Economic motivation","Values & Motivation","psychology","Psychology","worldview","Worldview","values_motivation","Values & Motivation"
"48","fam_machine_learning","Familiarity: Machine learning","Expertise: Domains","capability","Capability","domains","Domains","computing_data_ai","Computing, Data & AI"
"49","fam_deep_learning","Familiarity: Deep learning","Expertise: Domains","capability","Capability","domains","Domains","computing_data_ai","Computing, Data & AI"
"50","fam_statistics","Familiarity: Statistics","Expertise: Domains","capability","Capability","domains","Domains","computing_data_ai","Computing, Data & AI"
"51","fam_data_science","Familiarity: Data science","Expertise: Domains","capability","Capability","domains","Domains","computing_data_ai","Computing, Data & AI"
"52","fam_cardiology","Familiarity: Cardiology","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"53","fam_neurology","Familiarity: Neurology","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"54","fam_oncology","Familiarity: Oncology","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"55","fam_pediatrics","Familiarity: Pediatrics","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"56","fam_psychiatry","Familiarity: Psychiatry","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"57","fam_radiology","Familiarity: Radiology","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"58","fam_surgery","Familiarity: Surgery","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"59","fam_immunology","Familiarity: Immunology","Expertise: Domains","capability","Capability","domains","Domains","medicine_health_life_sciences","Medicine, Health & Life Sciences"
"60","fam_constitutional_law","Familiarity: Constitutional law","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"61","fam_contract_law","Familiarity: Contract law","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"62","fam_criminal_law","Familiarity: Criminal law","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"63","fam_tax_law","Familiarity: Tax law","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"64","fam_intellectual_property","Familiarity: Intellectual property","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"65","fam_corporate_finance","Familiarity: Corporate finance","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"66","fam_quantitative_trading","Familiarity: Quantitative trading","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"67","fam_accounting","Familiarity: Accounting","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"68","fam_auditing","Familiarity: Auditing","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"69","fam_macroeconomics","Familiarity: Macroeconomics","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"70","fam_microeconomics","Familiarity: Microeconomics","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"71","fam_behavioral_economics","Familiarity: Behavioral economics","Expertise: Domains","capability","Capability","domains","Domains","law_economics_finance","Law, Economics & Finance"
"72","fam_curriculum_design","Familiarity: Curriculum design","Expertise: Domains","capability","Capability","domains","Domains","education_human_services","Education & Human Services"
"73","fam_pedagogy","Familiarity: Pedagogy","Expertise: Domains","capability","Capability","domains","Domains","education_human_services","Education & Human Services"
"74","fam_special_education","Familiarity: Special education","Learning: Academic","background","Background","education","Education","academic_background","Academic Background"
"75","fam_structural_engineering","Familiarity: Structural engineering","Expertise: Domains","capability","Capability","domains","Domains","engineering_energy_infrastructure","Engineering, Energy & Infrastructure"
"76","fam_mechanical_engineering","Familiarity: Mechanical engineering","Expertise: Domains","capability","Capability","domains","Domains","engineering_energy_infrastructure","Engineering, Energy & Infrastructure"
